,Tags,Id
0,.net,1
1,asp.net-web-api,1
2,asp.net,1
3,delphi,3
4,c++,5
5,string,5
6,c++,6
7,casting,6
8,google-maps,8
9,angularjs,8
10,jasmine,8
11,karma-jasmine,8
12,typescript,10
13,array,12
14,perl,12
15,ios,16
16,xcode,16
17,lista,24
18,elixir,24
19,ruby-on-rails,27
20,ruby,27
21,vistas,27
